"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.015,1000,"MANTA",1,1.04576444625854
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.015,1000,"MANTA",1,1.08111882209778
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.015,1000,"MANTA",1,1.35429859161377
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.015,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.015,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0155,1000,"MANTA",1,1.1407310962677
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0155,1000,"MANTA",1,1.05937337875366
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0155,1000,"MANTA",1,1.09909963607788
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0155,1000,"MANTA",1,1.04889011383057
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0155,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0155,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.11619973182678
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.05714416503906
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.10244488716125
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.04196858406067
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0165,1000,"MANTA",1,1.12479400634766
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0165,1000,"MANTA",1,1.09633159637451
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0165,1000,"MANTA",1,1.0682384967804
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0165,1000,"MANTA",1,1.04358792304993
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0165,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0165,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.017,1000,"MANTA",1,1.48211479187012
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.017,1000,"MANTA",1,1.04638504981995
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.017,1000,"MANTA",1,1.10015392303467
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.017,1000,"MANTA",1,1.03400754928589
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.017,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.017,1000,"MANTA",NA,NA
